"Codename","Pinned 80","Pinned 81","Pinned 83","Pinned 84","Pinned 85","Stable","Beta","Dev","Canary","Recovery","Brand names"
"chell","12739.111.0\n80.0.3987.162","12871.102.0\n81.0.4044.141","13020.87.0\n83.0.4103.119","13099.110.0\n84.0.4147.136","13310.93.0\n85.0.4183.133","13310.93.0\n85.0.4183.133","13421.47.0\n86.0.4240.68","13482.0.0\n87.0.4265.0","13503.0.0\n87.0.4278.0","<a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11316.165.0_chell_recovery_stable-channel_mp.bin.zip"">72</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11647.154.0_chell_recovery_stable-channel_mp.bin.zip"">73</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11895.118.0_chell_recovery_stable-channel_mp.bin.zip"">74</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12105.100.0_chell_recovery_stable-channel_mp.bin.zip"">75</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12239.92.0_chell_recovery_stable-channel_mp.bin.zip"">76</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12371.75.0_chell_recovery_stable-channel_mp.bin.zip"">77</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12499.66.0_chell_recovery_stable-channel_mp.bin.zip"">78</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12607.58.0_chell_recovery_stable-channel_mp.bin.zip"">79</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12739.94.0_chell_recovery_stable-channel_mp.bin.zip"">80</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12871.102.0_chell_recovery_stable-channel_mp.bin.zip"">81</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13020.87.0_chell_recovery_stable-channel_mp.bin.zip"">83</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13099.110.0_chell_recovery_stable-channel_mp.bin.zip"">84</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13310.59.0_chell_recovery_stable-channel_mp.bin.zip"">85</a>","HP Chromebook 13 G1"
"coral","12739.111.0\n80.0.3987.162","12871.102.0\n81.0.4044.141","13020.87.0\n83.0.4103.119","13099.110.0\n84.0.4147.136","13310.93.0\n85.0.4183.133","13310.93.0\n85.0.4183.133","13421.39.0\n86.0.4240.49","13482.0.0\n87.0.4265.0","13503.0.0\n87.0.4278.0","<a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11316.165.0_coral_recovery_stable-channel_mp-v13.bin.zip"">72</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11647.154.0_coral_recovery_stable-channel_mp-v14.bin.zip"">73</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11895.118.1_coral_recovery_stable-channel_mp-v15.bin.zip"">74</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12105.100.0_coral_recovery_stable-channel_mp-v15.bin.zip"">75</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12239.92.0_coral_recovery_stable-channel_mp-v16.bin.zip"">76</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12371.75.0_coral_recovery_stable-channel_mp-v16.bin.zip"">77</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12499.66.0_coral_recovery_stable-channel_mp-v17.bin.zip"">78</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12607.82.0_coral_recovery_stable-channel_mp-v17.bin.zip"">79</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12739.94.0_coral_recovery_stable-channel_mp-v17.bin.zip"">80</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12871.102.0_coral_recovery_stable-channel_mp-v19.bin.zip"">81</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13020.87.0_coral_recovery_stable-channel_mp-v19.bin.zip"">83</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13099.102.0_coral_recovery_stable-channel_mp-v19.bin.zip"">84</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13310.59.0_coral_recovery_stable-channel_mp-v19.bin.zip"">85</a>","Acer Chromebook 11 (C732, C732T, C732L, C732LT), ASUS Chromebook C403, ASUS Chromebook C223, ASUS Chromebook C523, Multilaser Chromebook M11C-PC912, Positivo Chromebook N2110, Edxis Chromebook 11, CTL chromebook NL7, Positivo Chromebook N2112, APL convertible for Lanix, Viglen Chromebook 360C, Edxis Chromebook X11, CTL Chromebook NL7 / NL7T-360 / NL7TW-360, CTL Chromebook NL7 LTE, Acer Chromebook 15 (CB315-1H, CB315-1HT), Acer Chromebook Spin 15 (CP315), Acer Chromebook 514, Acer Chromebook Spin 11 (CP311-1H, CP311-1HN), Dell Chromebook 11 (5190), Dell Chromebook 11 2-in-1 (5190), ASUS Chromebook C423, Lenovo 100e Chromebook, Lenovo 500e Chromebook, Acer Chromebook 11 (CB311-8H, CB311-8HT), Viglen Chromebook 11C, PCmerge Chromebook AL116, Sector 5 E3 Chromebook, Prowise Chromebook Eduline, CTL Chromebook J41 / J41T"
"cyan","12739.94.0\n80.0.3987.137","12871.102.0\n81.0.4044.141","13020.87.0\n83.0.4103.119","13099.110.0\n84.0.4147.136","13310.91.0\n85.0.4183.131","13310.91.0\n85.0.4183.131","13421.39.0\n86.0.4240.49","13482.0.0\n87.0.4265.0","13502.0.0\n87.0.4277.0","<a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11316.165.0_cyan_recovery_stable-channel_mp-v3.bin.zip"">72</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11647.154.0_cyan_recovery_stable-channel_mp-v3.bin.zip"">73</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11895.118.0_cyan_recovery_stable-channel_mp-v3.bin.zip"">74</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12239.92.0_cyan_recovery_stable-channel_mp-v3.bin.zip"">76</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12371.75.0_cyan_recovery_stable-channel_mp-v3.bin.zip"">77</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12499.66.0_cyan_recovery_stable-channel_mp-v3.bin.zip"">78</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12607.81.0_cyan_recovery_stable-channel_mp-v3.bin.zip"">79</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12739.94.0_cyan_recovery_stable-channel_mp-v3.bin.zip"">80</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12871.102.0_cyan_recovery_stable-channel_mp-v3.bin.zip"">81</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13020.87.0_cyan_recovery_stable-channel_mp-v3.bin.zip"">83</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13099.102.0_cyan_recovery_stable-channel_mp-v3.bin.zip"">84</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13310.59.0_cyan_recovery_stable-channel_mp-v3.bin.zip"">85</a>","Acer Chromebook R11 (CB5-132T, C738T)"
"drallion","no update","no update","13020.87.0\n83.0.4103.119","13099.102.0\n84.0.4147.127","13310.91.0\n85.0.4183.131","13310.91.0\n85.0.4183.131","13421.47.0\n86.0.4240.68","13482.0.0\n87.0.4265.0","no update","<a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13099.102.0_drallion_recovery_stable-channel_mp-v2.bin.zip"">84</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13310.59.0_drallion_recovery_stable-channel_mp-v2.bin.zip"">85</a>","Dell Latitude 7410 Chromebook Enterprise, Dell Latitude 7410 Chromebook Enterprise"
"edgar","12739.111.0\n80.0.3987.162","12871.102.0\n81.0.4044.141","13020.87.0\n83.0.4103.119","13099.110.0\n84.0.4147.136","13310.93.0\n85.0.4183.133","13310.93.0\n85.0.4183.133","13421.47.0\n86.0.4240.68","13482.0.0\n87.0.4265.0","13502.0.0\n87.0.4277.0","<a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11316.165.0_edgar_recovery_stable-channel_mp-v2.bin.zip"">72</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11647.154.0_edgar_recovery_stable-channel_mp-v2.bin.zip"">73</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11895.118.0_edgar_recovery_stable-channel_mp-v2.bin.zip"">74</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12105.100.0_edgar_recovery_stable-channel_mp-v2.bin.zip"">75</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12239.92.1_edgar_recovery_stable-channel_mp-v2.bin.zip"">76</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12371.75.0_edgar_recovery_stable-channel_mp-v2.bin.zip"">77</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12499.66.0_edgar_recovery_stable-channel_mp-v2.bin.zip"">78</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12607.81.0_edgar_recovery_stable-channel_mp-v2.bin.zip"">79</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12739.94.0_edgar_recovery_stable-channel_mp-v2.bin.zip"">80</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12871.102.0_edgar_recovery_stable-channel_mp-v2.bin.zip"">81</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13020.87.0_edgar_recovery_stable-channel_mp-v2.bin.zip"">83</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13099.110.0_edgar_recovery_stable-channel_mp-v2.bin.zip"">84</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13310.59.0_edgar_recovery_stable-channel_mp-v2.bin.zip"">85</a>","Acer Chromebook 14 (CB3-431)"
"elm","12739.111.0\n80.0.3987.162","12871.102.0\n81.0.4044.141","13020.87.0\n83.0.4103.119","13099.110.0\n84.0.4147.136","13310.93.0\n85.0.4183.133","13310.93.0\n85.0.4183.133","13421.47.0\n86.0.4240.68","13443.0.0\n87.0.4247.0","13503.0.0\n87.0.4278.0","<a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11316.165.0_elm_recovery_stable-channel_mp-v2.bin.zip"">72</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11647.154.0_elm_recovery_stable-channel_mp-v2.bin.zip"">73</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11895.118.0_elm_recovery_stable-channel_mp-v2.bin.zip"">74</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12105.100.0_elm_recovery_stable-channel_mp-v2.bin.zip"">75</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12239.92.0_elm_recovery_stable-channel_mp-v2.bin.zip"">76</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12371.75.0_elm_recovery_stable-channel_mp-v2.bin.zip"">77</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12499.66.0_elm_recovery_stable-channel_mp-v2.bin.zip"">78</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12607.82.0_elm_recovery_stable-channel_mp-v2.bin.zip"">79</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12739.94.0_elm_recovery_stable-channel_mp-v2.bin.zip"">80</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12871.102.0_elm_recovery_stable-channel_mp-v2.bin.zip"">81</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13020.87.0_elm_recovery_stable-channel_mp-v2.bin.zip"">83</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13310.59.0_elm_recovery_stable-channel_mp-v2.bin.zip"">85</a>","Acer Chromebook R13 (CB5-312T)"
"enguarde","12739.111.0\n80.0.3987.162","12871.102.0\n81.0.4044.141","13020.87.0\n83.0.4103.119","13099.110.0\n84.0.4147.136","13310.93.0\n85.0.4183.133","13310.93.0\n85.0.4183.133","13421.47.0\n86.0.4240.68","13482.0.0\n87.0.4265.0","13500.0.0\n87.0.4277.0","<a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11316.165.0_enguarde_recovery_stable-channel_mp-v25.bin.zip"">72</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11647.154.0_enguarde_recovery_stable-channel_mp-v25.bin.zip"">73</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11895.118.0_enguarde_recovery_stable-channel_mp-v25.bin.zip"">74</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12105.100.0_enguarde_recovery_stable-channel_mp-v25.bin.zip"">75</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12239.92.0_enguarde_recovery_stable-channel_mp-v25.bin.zip"">76</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12371.75.0_enguarde_recovery_stable-channel_mp-v25.bin.zip"">77</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12499.66.0_enguarde_recovery_stable-channel_mp-v25.bin.zip"">78</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12607.82.0_enguarde_recovery_stable-channel_mp-v25.bin.zip"">79</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12739.94.0_enguarde_recovery_stable-channel_mp-v25.bin.zip"">80</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12871.102.0_enguarde_recovery_stable-channel_mp-v25.bin.zip"">81</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13020.87.0_enguarde_recovery_stable-channel_mp-v25.bin.zip"">83</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13310.59.0_enguarde_recovery_stable-channel_mp-v25.bin.zip"">85</a>","JP Sa Couto Chromebook, ASI Chromebook, eduGear Chromebook R, Videonet Chromebook, True IDC Chromebook, Crambo Chromebook, RGS Education Chromebook, Edxis Education Chromebook (NL6), Senkatel C1101 Chromebook, M&amp;A Chromebook, CTL N6 Education Chromebook, Education Chromebook, Lenovo N21 Chromebook"
"eve","12739.111.0\n80.0.3987.162","12871.102.0\n81.0.4044.141","None\nNone","None\nNone","13310.93.0\n85.0.4183.133","13310.93.0\n85.0.4183.133","13421.47.0\n86.0.4240.68","13443.0.0\n87.0.4247.0","13503.0.0\n87.0.4278.0","<a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11316.165.0_eve_recovery_stable-channel_mp.bin.zip"">72</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11647.154.0_eve_recovery_stable-channel_mp.bin.zip"">73</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11895.118.0_eve_recovery_stable-channel_mp.bin.zip"">74</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12105.100.0_eve_recovery_stable-channel_mp.bin.zip"">75</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12239.92.0_eve_recovery_stable-channel_mp.bin.zip"">76</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12371.75.3_eve_recovery_stable-channel_mp.bin.zip"">77</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12499.66.0_eve_recovery_stable-channel_mp-v2.bin.zip"">78</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12607.82.0_eve_recovery_stable-channel_mp-v2.bin.zip"">79</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12739.94.0_eve_recovery_stable-channel_mp-v2.bin.zip"">80</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12871.102.0_eve_recovery_stable-channel_mp-v2.bin.zip"">81</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13020.87.0_eve_recovery_stable-channel_mp-v2.bin.zip"">83</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13099.110.0_eve_recovery_stable-channel_mp-v2.bin.zip"">84</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13310.59.0_eve_recovery_stable-channel_mp-v2.bin.zip"">85</a>","Google Pixelbook"
"expresso","12739.111.0\n80.0.3987.162","12871.102.0\n81.0.4044.141","13020.87.0\n83.0.4103.119","13099.110.0\n84.0.4147.136","13310.93.0\n85.0.4183.133","13310.93.0\n85.0.4183.133","13421.47.0\n86.0.4240.68","13482.0.0\n87.0.4265.0","13503.0.0\n87.0.4278.0","<a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11316.165.0_expresso_recovery_stable-channel_mp-v15.bin.zip"">72</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11647.104.0_expresso_recovery_stable-channel_mp-v15.bin.zip"">73</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11895.118.0_expresso_recovery_stable-channel_mp-v15.bin.zip"">74</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12105.100.0_expresso_recovery_stable-channel_mp-v15.bin.zip"">75</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12239.92.0_expresso_recovery_stable-channel_mp-v15.bin.zip"">76</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12371.75.0_expresso_recovery_stable-channel_mp-v15.bin.zip"">77</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12499.66.0_expresso_recovery_stable-channel_mp-v15.bin.zip"">78</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12607.82.0_expresso_recovery_stable-channel_mp-v15.bin.zip"">79</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12739.94.0_expresso_recovery_stable-channel_mp-v15.bin.zip"">80</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12871.102.0_expresso_recovery_stable-channel_mp-v15.bin.zip"">81</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13020.87.0_expresso_recovery_stable-channel_mp-v15.bin.zip"">83</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13310.59.0_expresso_recovery_stable-channel_mp-v15.bin.zip"">85</a>","Edxis Chromebook, Bobicus Chromebook 11, HEXA Chromebook Pi, Consumer Chromebook"
"fievel","12739.111.0\n80.0.3987.162","12871.102.0\n81.0.4044.141","13020.87.0\n83.0.4103.119","13099.110.0\n84.0.4147.136","13310.93.0\n85.0.4183.133","13310.93.0\n85.0.4183.133","13421.47.0\n86.0.4240.68","13482.0.0\n87.0.4265.0","13502.0.0\n87.0.4277.0","<a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11316.165.0_veyron-fievel_recovery_stable-channel_fievel-mp.bin.zip"">72</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11647.154.0_veyron-fievel_recovery_stable-channel_fievel-mp.bin.zip"">73</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11895.118.0_veyron-fievel_recovery_stable-channel_fievel-mp.bin.zip"">74</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12105.100.0_veyron-fievel_recovery_stable-channel_fievel-mp.bin.zip"">75</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12239.92.0_veyron-fievel_recovery_stable-channel_fievel-mp.bin.zip"">76</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12499.66.0_veyron-fievel_recovery_stable-channel_fievel-mp.bin.zip"">78</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12607.81.0_veyron-fievel_recovery_stable-channel_fievel-mp.bin.zip"">79</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12739.94.0_veyron-fievel_recovery_stable-channel_fievel-mp.bin.zip"">80</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12871.102.0_veyron-fievel_recovery_stable-channel_fievel-mp.bin.zip"">81</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13020.87.0_veyron-fievel_recovery_stable-channel_fievel-mp.bin.zip"">83</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13099.110.0_veyron-fievel_recovery_stable-channel_fievel-mp.bin.zip"">84</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13310.59.0_veyron-fievel_recovery_stable-channel_fievel-mp.bin.zip"">85</a>","AOpen Chromebox Mini"
"fizz","12739.111.0\n80.0.3987.162","12871.102.0\n81.0.4044.141","13020.87.0\n83.0.4103.119","13099.110.0\n84.0.4147.136","13310.93.0\n85.0.4183.133","13310.93.0\n85.0.4183.133","13421.47.0\n86.0.4240.68","13482.0.0\n87.0.4265.0","13503.0.0\n87.0.4278.0","<a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11316.165.0_fizz_recovery_stable-channel_mp-v9.bin.zip"">72</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11647.154.0_fizz_recovery_stable-channel_mp-v10.bin.zip"">73</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11895.118.0_fizz_recovery_stable-channel_mp-v10.bin.zip"">74</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12105.100.0_fizz_recovery_stable-channel_mp-v10.bin.zip"">75</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12239.92.1_fizz_recovery_stable-channel_mp-v11.bin.zip"">76</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12371.75.0_fizz_recovery_stable-channel_mp-v11.bin.zip"">77</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12499.66.0_fizz_recovery_stable-channel_mp-v11.bin.zip"">78</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12607.82.0_fizz_recovery_stable-channel_mp-v12.bin.zip"">79</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12739.94.0_fizz_recovery_stable-channel_mp-v12.bin.zip"">80</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12871.102.0_fizz_recovery_stable-channel_mp-v13.bin.zip"">81</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13020.87.0_fizz_recovery_stable-channel_mp-v13.bin.zip"">83</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13099.110.0_fizz_recovery_stable-channel_mp-v13.bin.zip"">84</a>","Chromebox Reference, AOpen Chromebox Commercial 2, HP Chromebox G2, Acer Chromebox CXI3, ASUS Chromebox 3 (CN65), SMART Chromebox G3, Promethean Chromebox, ViewSonic NMP660 Chromebox, CTL Chromebox CBx1"
"gandof","12739.111.0\n80.0.3987.162","12871.102.0\n81.0.4044.141","13020.87.0\n83.0.4103.119","13099.110.0\n84.0.4147.136","13310.93.0\n85.0.4183.133","13310.93.0\n85.0.4183.133","13421.47.0\n86.0.4240.68","13482.0.0\n87.0.4265.0","13502.0.0\n87.0.4277.0","<a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11316.165.0_gandof_recovery_stable-channel_mp-v2.bin.zip"">72</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11647.154.0_gandof_recovery_stable-channel_mp-v2.bin.zip"">73</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_11895.118.1_gandof_recovery_stable-channel_mp-v2.bin.zip"">74</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12105.100.0_gandof_recovery_stable-channel_mp-v2.bin.zip"">75</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12239.92.0_gandof_recovery_stable-channel_mp-v2.bin.zip"">76</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12371.75.0_gandof_recovery_stable-channel_mp-v2.bin.zip"">77</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12499.66.0_gandof_recovery_stable-channel_mp-v2.bin.zip"">78</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12607.81.0_gandof_recovery_stable-channel_mp-v2.bin.zip"">79</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12739.94.0_gandof_recovery_stable-channel_mp-v2.bin.zip"">80</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_12871.102.0_gandof_recovery_stable-channel_mp-v2.bin.zip"">81</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13020.87.0_gandof_recovery_stable-channel_mp-v2.bin.zip"">83</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13099.110.0_gandof_recovery_stable-channel_mp-v2.bin.zip"">84</a> <a href=""https://dl.google.com/dl/edgedl/chromeos/recovery/chromeos_13310.59.0_gandof_recovery_stable-channel_mp-v2.bin.zip"">85</a>","Toshiba Chromebook 2 (2015 Edition)"
